Tweet	Label
eth eth ethereum s current price 233 0867 1h 1 15 24h 5 01 7d 13 31 more on	1
blocknodetech what is your favorite header of blocknode dark or bright cryptocurrency bitcoin blockchain crypto btc ico	2
bycocoricos giveaway earn 100 in ethereum 10k eggs to participate rt follow bycocoricos and crypto4all tag 2	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
xrpnews breaking news ethereum has been labeled as usable currency by the us sec digitalassetbuy hodor haydentiff bankxrp	1
tradingroomapp ethereum ethbtc buying 202 212 zone for 229 238 initial targets stops below 194 not suitable for bitmex leverag	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
holochainnews we expect a killer happ on top of holochain here s a taste of what s to come below get ready for juntofoundation s	0
coin3t if ethereum eth down to 220 on tonight i will send 0 05 eth to who like and rt btc btc eth etc eth neo ltc x	1
analysts agree that ethereum may soon visit 200 as selling pressure ramps up	2
coinstoner ethereum kmd kmd may be a great alternative to eth they have 0 fees and superior tech for build	2
authpaper don t forget to ask your friends to buy aupc and earn extra ether as the marketing referral reward	2
1 bitcoin average price is 7689 76196216 0 91 1h 2 ethereum average price is 232 991010404 1 11 1h 3 xrp	1
xrpnews breaking news ethereum has been labeled as usable currency by the us sec digitalassetbuy hodor haydentiff bankxrp	1
buy sell ethereum moves with up to 100x leverage at primexbt register here and convert your 100 into 5000	1
mick contentos photogrid now on chain daily active users is over 1 000 within 1 5 month if this dapp moves to ethereum it will be 4	1
xrpnews breaking news ethereum has been labeled as usable currency by the us sec digitalassetbuy hodor haydentiff bankxrp	1
nemesisgiveaway we are giving away 5000 xvg steps 1 retweet 2 like 3 follow aiocasino to participate you have to complete a	2
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
xrpnews breaking news ethereum has been labeled as usable currency by the us sec digitalassetbuy hodor haydentiff bankxrp	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
ethereumnetw sec lists ethereum as consumable currency	1
juicyfruityyy bonus giveaway 100 in ethereum to enter rt follow stake thats it ends in 72 hours goodluck	2
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
thecryptocation looks like the ianbalina hall of fame ico sparkster isn t doing so well now that it has unlocked looks like ico se	2
looks like the ianbalina hall of fame ico sparkster isn t doing so well now that it has unlocked looks like ico	2
free ethereum earn 65 free eth in 5 minutes ethereum freeeth geteth	2
nemesisgiveaway we are giving away 5000 xvg steps 1 retweet 2 like 3 follow aiocasino to participate you have to complete a	2
justinsuntron ethereumjoseph we should have a friendly bet too bet 1 million usd equivalent trx or eth on whether tron will have	1
so looks like eth is a currency	2
evan van ness latest week in ethereum news is out	1
awecoin we ll be giving away 100 000 awe to 1 lucky winner in 24 hours to enter 1 retweet 2 like 3 follow awecoin ends 22 00	2
holochainnews we expect a killer happ on top of holochain here s a taste of what s to come below get ready for juntofoundation s	0
mick contentos photogrid now on chain daily active users is over 1 000 within 1 5 month if this dapp moves to ethereum it will be 4	1
loteomission join our draw activate your ticket and get yourself a bonus of 100 loteu 100 loteu tokens can double your chances in th	2
hitfinex hitfinex token sale ieo will take place on 15th june 2019 at 00 00 est and will be conducted in our beta exchange you can	1
awecoin we ll be giving away 100 000 awe to 2 lucky winners in 48 hours to enter 1 retweet 2 like 3 follow awecoin ends 22 0	2
tradingroomapp ethereum ethbtc buying 202 212 zone for 229 238 initial targets stops below 194 not suitable for bitmex leverag	1
analysts agree that ethereum may soon visit 200 as selling pressure ramps up fintech blockchain crypto	2
crypto has the power to change your life don t forget we are early adopters bitcoin vechain ethereum	1
coinstoner vitalikbuterin ethereum gavofyork vladzamfir gavinandresen koeppelmann aantonop fehrsam	1
1 billion valuation may elude ethereum co founder s new blockchain polkadot coindesk	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
realmicroguy my all time favorite cryptocurrency price predictions for 2019 bitcoin btc 12 850 bitcoin cash bch 1	2
buy sell ethereum changes with up to 100x leverage at primexbt join today and turn your 100 into 15000	1
awecoin we ll be giving away 100 000 awe to 1 lucky winner in 24 hours to enter 1 retweet 2 like 3 follow awecoin ends 22 00	2
klashmano crypto eth ripple tron bitcoin blockchain ltc usdt eos bch xrp etc bsv cryptocurrency cryptocurrencynews cry	1
top 5 cryptocurrencies alert time 2019 06 10 02 50 02 bitcoin 7 676 384 ethereum 232 605 xrp 0 389	2
bitcoin s opportunity in woodford equity income fund implosion via ethereum world news cryptocurrency	2
bitcoin btc can reach 40 000 usd in 5 months after breaking the resistance set at 10 000 usd tom lee says via et	1
bitcoin atm spotted spitting out money in london via ethereum world news cryptocurrency	1
analyst bitcoin losing steam could fall just as btc rallied off 3 200 bottom via ethereum world news	0
crypto eth ripple tron bitcoin blockchain ltc usdt eos bch xrp etc bsv cryptocurrency	1
nirxcoin we congratulate vitalikbuterin hardwork has kept ethereum as the most reliable open source user friendly blockchain ser	2
authpaper don t forget to ask your friends to buy aupc and earn extra ether as the marketing referral reward	2
mishalederman tron set to be king of dapps as volumes significantly exceed eos amp ethereum trx network is secure amp stable free tra	1
bitcoin not looking to good will this be the retrace to 6800 we have been expecting let me know what you think	0
space have shared their thoughts on the idea in 2011 ethereum s co founder vitalik buterin posted on the industry	2
analysts agree that ethereum may soon visit 200 as selling pressure ramps up	2
been using the eth based social media platform cent for a little over a month i don t understand the lack of	1
fiveeightandten question though do you think you can offset your computer s electric bill by mining ethereum or is the roi pretty minimal	1
the crypto week the majors hit reverse 09 06 19 cryptocurrency bitcoin ethereum	1
crypto10000 sec lists ethereum as consumable currency growth expected for eth obn bitcoinprivate	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
breaking news ethereum has been labeled as usable currency by the us sec digitalassetbuy hodor haydentiff bankxrp	1
cryptocurrency university investment mariah bitcoin ethereum ripple donaldtrump stellar tether noah	1
monarchtoken watch this video for monarch token company updates reasoning and excitement blockchain	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
wir0x weekly perspective sumo sumokoin bitcoin binance tradeogre indodax crypto cryptocurrency trx rvn cryptobridge eth	1
ledger nano s bitcoin and ethereum cryptocurrency hardware wallet	1
analysts agree that ethereum may soon visit 200 as selling pressure ramps up	2
wish i was on board cryptotwitter cryptonews bitcoinnews decentralized crypto cryptotrading dex bitcoin	2
ethereum value 230 9	2
ethereum classic value 8 1	2
awecoin not too long left don t rely on luck to get awe buy it from the crowdsale address in preparation for the coming bull ma	1
ethereum eth usd dropped by 6 2277 currently priced at 230 83 investing fire	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
1 2 top 5 cryptocurrency name volume price 1 bitcoin 16 531 469 180 7679 12 2	2
nemesisgiveaway we are giving away 5000 xvg steps 1 retweet 2 like 3 follow aiocasino to participate you have to complete a	2
14 999 eth 3 463 064 usd transferred from bithumb to unknown wallet tx	1
sec lists ethereum as consumable currency growth expected for eth obn bitcoinprivate	1
tradepharmanet trade pharma network is a pharma centric marketplace that connects carefully selected buyers amp sellers of medicines at	1
ethplode is a new deflationary decentralized store of value based on ethereum giving away 50 000 000 ethplo to	0
justinsuntron tron posts personal bests in surpassing transaction volumes of ethereum and eos tron has performed exceptionally w	1
altcoinsara breaking news ethereum has been labelled as usable currency by the sec	1
naval badcryptobitch what is bitcoin ethereum is 2nd	1
trade pharma network is a pharma centric marketplace that connects carefully selected buyers amp sellers of medicines	1
breaking news ethereum has been labelled as usable currency by the sec	1
mishalederman tron set to be king of dapps as volumes significantly exceed eos amp ethereum trx network is secure amp stable free tra	1
ethereum users are utilizing dai for a variety of purposes with decentralized exchange accounting for 70 of t	1
top 5 cryptocurrencies alert time 2019 06 10 02 40 02 bitcoin 7 670 326 ethereum 232 077 xrp 0 387	2
analysts agree that ethereum may soon visit 200 as selling pressure ramps up	2
